[INFO 8:29:05 PM] miguelsolorio.symbols activated
[INFO 8:29:05 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 8:29:05 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 8:29:05 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 8:29:05 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 8:29:06 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 8:29:06 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 8:29:06 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 8:29:06 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 8:29:06 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 8:29:06 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 8:29:06 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 8:29:06 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 8:31:44 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 8:31:44 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 8:31:44 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 8:31:44 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 8:32:28 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 8:32:28 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 8:32:28 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 8:32:28 PM] 🤖 symbols.files.associations changed, updating to undefined
